X_mm,R_mm
22.500000,39.000000
23.000002,38.500000
23.500002,38.000000
24.000000,38.000000
24.500002,38.000000
25.000000,37.500000
25.500002,37.500000
26.000000,37.000000
26.500002,37.000000
27.000000,36.500000
27.500002,36.500000
28.000000,36.500000
28.500002,36.000000
29.000002,36.000000
29.500002,35.500000
30.000002,35.500000
30.500002,35.500000
31.000002,35.000000
31.500000,35.000000
32.000000,34.500000
32.500004,34.500000
33.000000,34.500000
33.500000,34.000000
34.000000,34.000000
34.500004,34.000000
35.000000,33.500000
35.500000,33.500000
36.000004,33.500000
36.500004,33.500000
37.000000,33.500000
37.500000,33.000000
38.000004,33.000000
38.500004,33.000000
39.000000,33.000000
39.500000,33.500000
40.000004,33.500000
40.500000,34.000000
41.000000,34.000000
41.500004,34.500000
42.000004,35.000000
42.500000,35.500000
43.000000,36.000000
43.500004,36.500000
44.000004,37.000000
44.500000,37.500000
45.000000,37.500000
45.500004,37.500000
46.000004,37.000000
46.500000,36.500000
47.000004,36.000000
47.500004,35.000000
48.000000,34.000000
48.500000,33.000000
49.000004,32.000000
49.500004,31.000000
50.000000,30.000000
50.500000,29.000000
51.000004,28.000000
51.500004,27.000000
52.000000,26.000000
52.500004,25.500000
53.000004,24.500000
53.500004,24.000000
54.000000,23.500000
54.500004,23.000000
55.000004,23.000000
55.500004,22.500000
56.000000,22.500000
56.500004,22.500000
57.000004,22.500000
57.500000,22.500000
58.000004,23.000000
58.500004,23.000000
59.000004,23.500000
59.500000,23.500000
60.000004,24.000000
60.500004,24.000000
61.000004,24.500000
61.500000,25.000000
62.000004,25.500000
62.500000,26.000000
63.000000,26.000000
63.500004,26.500000
64.000000,27.000000
64.500008,27.500000
65.000008,28.000000
65.500008,28.500000
66.000000,28.500000
66.500000,29.000000
67.000000,29.500000
67.500000,29.500000
68.000000,29.500000
68.500008,29.500000
69.000008,29.000000
69.500008,27.000000
70.000000,24.500000
70.500000,19.500000
71.000000,10.500000
71.500000,10.000000
72.000008,10.000000
72.500008,10.000000
